title,reviews,criticScore,tMeter,audScore
Event Horizon,"...a tremendously entertaining, flat-out disturbing horror effort that boasts a number of justifiably indelible sequences...",fresh,26,61
Event Horizon,High-tech ghost story takes a grip until credibility goes into orbit.,rotten,26,61
Event Horizon,"Paul Anderson shoots things to look cool, but he has no grasp on how to modulate the visuals to carry the audience into the deepening nightmare of the plot.",rotten,26,61
Event Horizon,Paul W.S. Anderson's outer space horror Event Horizon is an example of a potentially great and complex idea given a simplistic and ultimately ridiculous execution.,rotten,26,61
Event Horizon,It's disheartening to see how quickly this movie degenerates from an intriguing premise into an absurd gore-a-thon.,rotten,26,61
Event Horizon,The perils the actors face would be far more shuddersome were their characters more sharply delineated from the outset.,rotten,26,61
Event Horizon,"... incrA-vel como um filme que suga tantos elementos de clA!ssicos como 2001, Alien e Solaris pode ter resultado em uma besteira tA?o grande. Mas AC este o talento de Anderson: dirigir besteiras colossais.",rotten,26,61
Snow White: A Tale of Terror,It's an unappealing dark adult version of the classic Grimm Brothers' fairy tale of the Snow White story.,rotten,60,56
Snow White: A Tale of Terror,Too dark for it's own good...the fairytale's been sucked clean-dry,rotten,60,56
Snow White: A Tale of Terror,Not bad dark retelling of the classic tale.,fresh,60,56
Snow White: A Tale of Terror,"The frenzied atmosphere of darkness may be a little off-putting for some, but it only helps to invigorate the well-worn tale with new energy.",fresh,60,56
Snow White: A Tale of Terror,"It's a dark and intense movie, filled with physical and emotional pain.",fresh,60,56
I Know What You Did Last Summer,...competent but uninspired...,rotten,36,40
I Know What You Did Last Summer,"A smart, sharply drawn genre film with a moral center and a solid cast.",fresh,36,40
I Know What You Did Last Summer,"...fun, energetic and fairly scary.",fresh,36,40
I Know What You Did Last Summer,"Like Williamson, Jim Gillespie, the director, respects the conventions of the genre.",fresh,36,40
I Know What You Did Last Summer,"Predictably, the derivative title here is a jumping-off point for another derivative slasher-revenge pic.",rotten,36,40
I Know What You Did Last Summer,The best shot in this film is the first one. Not a good sign.,rotten,36,40
I Know What You Did Last Summer,"From [Helen's chase scene] through the end, the film is perfection.",fresh,36,40
I Know What You Did Last Summer,Though efficiently made it's not a good film.,rotten,36,40
I Know What You Did Last Summer,"[Director] Gillespie is there to give fans a poor man's ""Scream"" and he pulls it off.",rotten,36,40
I Know What You Did Last Summer,This horror movie is too intense for kids.,rotten,36,40
I Know What You Did Last Summer,It can't even lay claim to the thin joy of being a tremendously bad and trashy wallow in the gutter. It's just... useless.,rotten,36,40
I Know What You Did Last Summer,"...a tedious, distinctly by-the-numbers slasher flick.",rotten,36,40
Mimic,"Mimic will have entomophobes in the audience yearning to bug out, and scare-seekers squirming in their seats.",fresh,61,37
Mimic,"A dark, dank and derivative horror ride only an Orkin man could truly love.",rotten,61,37
Mimic,A dark story that entertains with artistic moments until it fizzles as it becomes derivative of those standard sci-fi horror Big Bug films from the fifties.,rotten,61,37
Mimic,"It comes off smarter and creepier than I recall the original, less about scares than a sustained atmosphere of eerie unease and skittery threats.",fresh,61,37
Mimic,Viewers will be forgiven for wanting to rush next door and douse their neighbor with RAID.,fresh,61,37
Mimic,"While a visual treat, Mimic is exactly that, a film which mimics other styles and plot elements. In this case Alien and David Cronenberg's The Fly and Videodrome.",rotten,61,37
Mimic,"It's clear now that Del Toro's favorite themes and symbols were already in place, with the vast underground setting, machinery, and man's interference in the supernatural order of things -- not to mention a talent for pure terror.",fresh,61,37
Mimic,Mimic: The Director's Cut on Blu-ray is a true gift for fans.,fresh,61,37
Mimic,"Preposterous, yes, but a lot of fun.",fresh,61,37
Mimic,"Fairly lame bug horror. Not del Toro's best, to put it mildly.",rotten,61,37
Mimic,"Del Toro does not make Tyler a symbol of science gone out of control or of science for greed, instead he makes her a scientist who in doing good has created a monster and has to live with that guilt.",fresh,61,37
Mimic,"Del Toro consegue criar alguns bons momentos de tensA?o e o filme conta com um design de produA?A?o bastante acima da mACdia para exemplares do gAanero. Ainda assim, a histA3ria A3bvia, tA-pica de uma produA?A?o B, resulta em um longa descartA!vel.",rotten,61,37
Office Killer,"Some of this is insulting, all of it is tedious.",rotten,12,51
Office Killer,It doesn't offer a single moment of visceral or emotional electricity.,rotten,12,51
Office Killer,"It can't decide what it wants to be -- slasher fest, social satire or revenge comedy -- and ends up being an awkward goulash.",rotten,12,51
Office Killer,"Trashy, stupid, schlock-y, and completely dull.",rotten,12,51
Office Killer,The film opens with some intriguing and old-fashioned credits set to an ominous score. That's the high point.,rotten,12,51
Office Killer,"No terror or suspense occupies this tired, gloomy vacuum, not to mention wit or humor.",rotten,12,51
Office Killer,A pretentious pseudo-parody of a serial-killer movie.,rotten,12,51
Office Killer,Extra points for liberal use of chicken innards as wholesale gore. Minus points for not being funny enough.,rotten,12,51
Office Killer,"The measure of this film's failure is that when the nasty stuff happens, we don't laugh and we really don't care.",rotten,12,51
Office Killer,As lifeless as the corpses that pile up in mousy Carol Kane's basement.,rotten,12,51
Office Killer,"Despite running only 81 minutes, Sherman's debut feels distended, perhaps because it flutters around from black comedy to Grand Guignol to character study, rarely touching down on any of the above.",rotten,12,51
Office Killer,It's more disturbing than finding half a cockroach in a Fluffernutter sandwich.,rotten,12,51
Dance with the Devil,"The film would have better off staying with the comic tone, for that's what de la Iglesia does best--and where his interests clearly lie.",rotten,33,63
Phantoms,"Until it coughs up a ridiculously convoluted explanation of why an isolated town in Colorado suddenly goes deader than a weekday matinee of The Postman, Phantoms delivers the shivers.",rotten,13,27
Phantoms,"The more the story and film unfold, the stupider ""Phantoms"" gets...",rotten,13,27
Phantoms,"The great thespian Peter O'Toole looks more out of place in this schlock pic than the rest of the cast, even though he's the best thing about this misfire.",rotten,13,27
Phantoms,A dandy Halloween feature with a good needle-in-the-butt jump every five minutes or so,fresh,13,27
Phantoms,"Affleck, you weren't the bomb in Phantoms, yo. But Rose McGowan is hot.",rotten,13,27
Phantoms,Quickly degenerates from X-Files to Baywatch Nights once the culprit is ultimately revealed.,rotten,13,27
Phantoms,"O roteiro AC absolutamente ridA-culo e jamais consegue explicar exatamente que coisa AC aquela que se transforma nas pessoas. Affleck deveria sentir vergonha de se submeter a isso, e O'Toole tenta manter a dignidade como pode.",rotten,13,27
Phantoms,Rose McGowan continues her habit of appearing in worthless movies.,rotten,13,27
Phantoms,"...A rather silly concept, drawn out to terribly silly lengths, with so many horror-movie clichACs that the good devices are drowned out by the schlock",rotten,13,27
Phantoms,"Koontz and director Joe Chappelle know how to tighten the screws-it may be a mechanical skill, but it's one many horror writers and directors haven't mastered.",fresh,13,27
Phantoms,Phooey!,rotten,13,27
The Relic,"A surprisingly entertaining ""monster-on-the-loose"" picture set mostly in halls and private passageways of Chicago's Field Museum of Natural History.",fresh,34,33
The Relic,"Though based on an original and respected novel, Hyams' horror thriller comes across as a pastiche of the genre's conventions as evident in major pictures of the past two decades, such as Jaws and the first two Alien films.",rotten,34,33
The Relic,Gore seekers need only to know the body count is high and the scares are cheap as director Peter Hyams shares his beast's repellent disregard for human life.,rotten,34,33
The Relic,"In the end, The Relic erupts into a monster mash. Hyams has filmed it excitingly, and Stan Winston delivers a blazing special effect. But there is a bit too much of Godzilla in the monster when it finally is revealed in all of its ghastly glory.",fresh,34,33
The Relic,A derivative and predictable post-Alien sci-fi horror film.,rotten,34,33
The Relic,No doubt the bill for Energizers alone took up a big chunk of this gory clunker's $48-million budget.,rotten,34,33
The Relic,"The story comes from a million other movies (mainly Jaws and Alien), and it's completely and totally predictable.",rotten,34,33
The Relic,"A slick, witty, and unexpectedly effective little genre throwback.",fresh,34,33
The Relic,A terrific monster movie with an edge. A bloody good time.,fresh,34,33
The Relic,"Gory as heck, but still well-crafted monster movie fun.",fresh,34,33
The Relic,Monster runs through museum. Audience gets bored.,rotten,34,33
Scream 2,"The rest of the cast of disposable archetypes deadpanned about why ''sequels suck'' -- a particularly funny joke, since this one didn't.",fresh,81,56
Scream 2,"Visceral, witty and appropriately redundant...",fresh,81,56
Scream 2,If you liked Scream there's no reason you shouldn't like this sequel.,fresh,81,56
Scream 2,"The film itself is stuck in a cycle of repetition, with slight variations.",rotten,81,56
Scream 2,"A horror movie balancing gore and terror with personality, humor and a nifty gimmick.",fresh,81,56
Scream 2,"A yum-yum cast of pretties pull off the neat trick of affectionately counting the many ways available to horror sequels to suck, without making a sequel that sucks.",fresh,81,56
Scream 2,"A sharp collection of observations strung across two hours of bloodshed, intricate motives, pointed cultural references and nearly flawless examples of well-modulated tension.",fresh,81,56
Scream 2,"Old-hand Craven delivers a delectably gruesome, well-crafted horror yarn that is crisply edited, inventively photographed and devilishly cast.",fresh,81,56
Scream 2,Its self-awareness has a brashness that can be enlivening.,fresh,81,56
Scream 2,The first 10 minutes attain a deranged brilliance (especially considering Charlie Kaufman wouldn't introduce his own brand of narrative invention for another two years).,fresh,81,56
Scream 2,...a perfunctory (yet consistently watchable) sequel...,fresh,81,56
Scream 2,Bloody good fun.,fresh,81,56
Spawn,This barely coherent hunk of junk is like a cheap horror film with only a suggestion of the grisliness that appeals to fans of cheap horror films.,rotten,18,36
Spawn,The film gives you the pleasurably junky sensation of living inside an apocalyptic videogame.,fresh,18,36
Spawn,"A moodily malevolent, anything-goes revenge fantasy that relies more upon special visual and digitally animated effects for its intended appeal than any comics-derived sci-fier to date.",rotten,18,36
Spawn,This hopelessly redundant action gross-out aspires to a form of hip vacuousness -- and may achieve it.,rotten,18,36
Spawn,"DippAC, an old SFX hand, needs to think about how to tell a story.",rotten,18,36
Spawn,"The nonsensical screenplay can barely stand-up to the hellzapoppin,' Beelzebubbin' effects mustered by first-time director Mark Dippe.",rotten,18,36
Spawn,Violent '90s apocalyptic horror tale is dreadful.,rotten,18,36
Spawn,"Ends up feeling like every other mid-budget comic book movie from the second half of the 1990s, and that was a uniquely dispiriting moment for such things.",rotten,18,36
Spawn,Has aged about as well as a banana in the sweltering sun...,rotten,18,36
Spawn,"As a movie, 'Spawn' can't make up its mind what it wants to be any more than its protagonist knows who he is or what he wants to be.",rotten,18,36
Spawn,What it doesn't have is much of a plot.,rotten,18,36
Spawn,"It's simply a parade of toys and tricks, without a jot of playfulness, knowing humour or campery to endear itself.",rotten,18,36
Sphere,"Ultimately, the explanation we've been waiting for turns out to be just that: an explanation.",rotten,12,38
Sphere,An empty shell.,rotten,12,38
Sphere,"Three major stars being involved, it all wraps up happily but implausibly.",rotten,12,38
Sphere,"The ending, though emotionally satisfying, collapses under scrutiny. This lack of payoff is a real flaw in a film pitched to a discriminating sci-fi mentality.",rotten,12,38
Sphere,"Given its situational premise -- outer space goes underwater -- Sphere is filled with visual potential, yet Levinson can't tap it. He's just a whole lot more comfortable trying to tame the human software than the technical hardware.",rotten,12,38
Sphere,"As the umpteenth entrant in the We-Are-Not-Alone sweepstakes, Sphere feels awfully familiar because it is.",rotten,12,38
Sphere,"The central idea for Sphere is an intriguing one, but similar concepts have been much better executed on episodes of Star Trek, which makes one wonder why movie writing is allowed to be so bad.",rotten,12,38
Sphere,"Word 'pointless' is the one that should be attributed to this whole film, one of the worst to come from Hollywood in past decade and one that would test patience and temper of the audience like few others.",rotten,12,38
Sphere,"Let's face facts: Michael Crichton is a hack. He comes up with innovative concepts, but his characters are cardboard cutouts. Given the psychological foundations of the story, that's an egregious flaw, and the ending is absurdly dissatisfying.",rotten,12,38
Sphere,If you want a better sci-fi film go see Dark City. A better Levinson movie? Try Wag the Dog.,rotten,12,38
Sphere,"Packaged as a smart psychological drama, it gradually dissolves into a badly edited action thriller, albeit one obscured by a cast of top notch talent.",rotten,12,38
Sphere,"For a movie of a novel written by Michael Crichton with such a capable cast, Sphere is quite a disappointment.",rotten,12,38
Wishmaster,"It will be of interest to none but goreheads, who are likely to find the gore rather cheesy.",rotten,23,38
Wishmaster,An extravaganza of bad special effects and worse acting,rotten,23,38
Wishmaster,My best advice to anyone reading this review -- even someone who considers himself or herself a fan of horror movies -- is to stay away.,rotten,23,38
Wishmaster,Includes an all-star horror cast.,fresh,23,38
Wishmaster,"It starts well enough, with a Hellraiser-esque moment, but soon dissolves into expected horror trope, after horror trope, before an ending that renders the entire movie defunct and unnecessary.",rotten,23,38
Wishmaster,"Some of us started our journey with Wishmaster and through its unbridled sense of silliness; it is our 'classic', our entrance to the genre. What more could we wish for?",fresh,23,38
Wishmaster,Very kick ass,fresh,23,38
Wishmaster,A bunch of elaborate gore bits surrounded by a whole lot of stupidity.,rotten,23,38
Wishmaster,Gimmicky but smart horror film.,fresh,23,38
Wishmaster,...two times zero doesn't add up to much.,rotten,23,38
Wishmaster,"A lukewarm stew of supernatural horror, mythical fantasy and gratuitous gore.",rotten,23,38
Wishmaster,"What ensues is a pageant of special effect set-pieces where innocents are flayed, morphed and disfigured beyond belief and in extreme close-up.",rotten,23,38
From Hell,"Anyone expecting the combo of Allen and Albert Hughes and the famed Victorian serial-killer to result in a gritty, stygian, skin-crawling horror movie will be severely disappointed",rotten,57,66
From Hell,"This wry, atmospheric procedural spawned by a real mystery would be thorny enough without also being an adaptation.",fresh,57,66
From Hell,Fitfully arresting late night entertainment.,fresh,57,66
From Hell,"The Hughes boys blow it by burying a fine cast ... in stock scares, sappy romance and cliches that really are from hell.",rotten,57,66
From Hell,"The only thrill, if you can call it that, is waiting to see who gets sliced up next.",rotten,57,66
From Hell,It has the lush decrepitude of an autumn compost heap or an old Hammer werewolf flick.,fresh,57,66
From Hell,It's just not a very good movie.,rotten,57,66
From Hell,"Every generation gets the Ripper who best fulfills its fantasies, and ours fatten on vast conspiracies.",fresh,57,66
From Hell,"Gruesome, predictable Jack the Ripper retelling.",fresh,57,66
From Hell,"Moore might not be merrier, but this is far from offal.",fresh,57,66
From Hell,The problem with this film is that Jack the Ripper takes a backseat to the dull and terrible romance between Depp's policeman character and Heather Graham's prostitute character.,rotten,57,66
From Hell,See it for the stunning visuals and Depp's performance rather than a factual re-telling -- if you can stomach it.,fresh,57,66
Resident Evil,"Despite a promising setup, pic never really goes anywhere, instead immersing viewers in a kinetic onslaught of flesh (namely, that of Milla Jovovich) and flesh-eaters (most of the rest of the cast).",rotten,34,67
Resident Evil,"Hats off, however, to the production team for the set designs and one very imaginative death-by-laser sequence. The rest is a derivative, tedious mess.",rotten,34,67
Resident Evil,"On its own terms, Resident Evil updates the zombie genre with an anti-corporate message while still scaring its audience and providing heart-pounding action.",fresh,34,67
Resident Evil,It's completely pointless.,rotten,34,67
Resident Evil,An already thin story boils down to surviving invaders seeking an existent anti-virus. If only there were one for this kind of movie.,rotten,34,67
Resident Evil,It all looks and plays like a $40 million version of a game you're more likely to enjoy on a computer.,rotten,34,67
Resident Evil,"A merely acceptable adaptation that feels more like a supernatural thriller with a couple of references to the game, involuntarily funny dialogue, and decent performances, than a terrifying production. [Full review in Spanish]",fresh,34,67
Resident Evil,This routine video-game spinoff borrows heavily from James Cameron action flicks and George Romero zombie epics but doesn't do much else.,rotten,34,67
Resident Evil,"This adaptation captures the spirit of the video games and with its fun, anything can happen mindset and tons of over the top violence, 'Resident Evil' proves there may be a future for video game movies yet.",fresh,34,67
Resident Evil,An ultra-gory video game-to-movie disappointment.,rotten,34,67
Resident Evil,The overblown action and cheapo effects become as relentless as the undead.,rotten,34,67
Resident Evil,A Z grade bit of fodder for the pre-teen sector...,rotten,34,67
Species II,There's probably better acting from the pole huggers at the Cecil than the sorry-ass cast of Species II.,rotten,9,18
Species II,A clone of the first film except with a small twist...,rotten,9,18
Species II,"'It's awful; it's just awful, gasps Marg Helgenberger in one scene of this absolutely abysmal follow-up ... viewers are likely to find their heads nodding in agreement.",rotten,9,18
Species II,A totally unnecessary sequel that will likely only please 12-year-old boys.,rotten,9,18
Species II,"The sequel ups the ""silly"" ante without bringing any new brains to the table.",rotten,9,18
Species II,A stinky sequel with a huge DUH factor.,rotten,9,18
Species II,"Pure exploitation of breasts, blood, and beasts, often without digital enhancement. Absolutely freakin' brilliant!",fresh,9,18
Species II,I loved the exploding alien birth. What a riot!,fresh,9,18
Species II,Species II is one sequel that screams...Yuck! It also conjures up...Why? Screenplay be damned. Acting? Throw it out the window.,rotten,9,18
Species II,"You don't need to have seen the original ""Species"" to appreciate how utterly lousy ""Species II"" is.",rotten,9,18
eXistenZ,"I just don't happen to like puzzle films of any kind, but I must credit Mr. Cronenberg with more intellectual depth than most of his fellow pessimistic movie pranksters.",rotten,74,69
eXistenZ,"Dark, delirious fun.",fresh,74,69
eXistenZ,It's good art direction in search of an idea.,rotten,74,69
eXistenZ,"Jennifer Jason Leigh is an ideal Cronenberg heroine, projecting a personality that is smart, wary and capable of obsessiveness.",fresh,74,69
eXistenZ,"[It's] meant to have a whiff of the philosophical, even if its intellectual ambition seems mostly limited to spelling affectations.",rotten,74,69
eXistenZ,"The Matrix is mainstream sci-fi, but eXistenZ, written by Cronenberg, is much stranger; it creates a world where organic and inorganic are not separate states, but kind of chummy.",fresh,74,69
eXistenZ,"Cronenberg wraps the tale in layers of mystery, never allowing the audience to confidentially comprehend precisely what is happening.",fresh,74,69
eXistenZ,"eXistenZ - both Allegra's latest beta release and David Cronenberg's dizzying B-movie - makes the different textures of game, film and life increasingly difficult to tease apart.",fresh,74,69
eXistenZ,eXistenZ is a hugely enjoyable SF thriller with a playfulness to its narrative that keeps you well and truly baffled as too where you are.,fresh,74,69
eXistenZ,"The world Cronenberg creates is his least immersive to date, but more interesting is his critique of what games and other forms of media do to our lives.",fresh,74,69
eXistenZ,"This is a David Cronenberg movie, so everything looks vaguely like a vagina.",fresh,74,69
eXistenZ,"It's a disturbing, disorienting sensation -- puzzles within puzzles, games within games -- that continues right up to the last shot.",fresh,74,69
The Last Broadcast,TLB is amateur. In all the wrong ways.,rotten,47,39
The Last Broadcast,Intermittently successful gimmick flick.,fresh,47,39
The Last Broadcast,An efficient and effective exercise that manages to get under the skin.,fresh,47,39
The Last Broadcast,"At its best, it is very creepy",fresh,47,39
The Last Broadcast,"Unravels at the end, with a completely contrived finale that totally destroys whatever mystique the first 80 minutes managed to build.",rotten,47,39
The Last Broadcast,Wouldn't have made it much past the creators' computers had Blair Witch not done so well.,rotten,47,39
Strangeland,"It's a disturbing, hopeless, irredeemable series of images that will scar you if you wander into it unprepared.",rotten,6,63
Strangeland,"This terrible horror film pretends to tell a moral about internet chat rooms, but really it's a cheap C grade slasher flick.",rotten,6,63
Strangeland,a little too messy for me,rotten,6,63
Strangeland,"Snider's Captain Howdy is an appropriately scary creation, but the movie mostly lets him down.",fresh,6,63
Strangeland,After the agonizing torture that was endured I can safely make the statement that Strangeland is now and will be the worst film of 1998.,rotten,6,63
Strangeland,Perhaps if I hadn't expected it to be so bad I might have approved of it less.,rotten,6,63
Strangeland,"Twisted Sister's Dee Snider makes a movie -- a must-see, right? Wrong-o!",rotten,6,63
Strangeland,"Painful to endure even by modern primitive standards, it's a freaky, funless wreck, intolerable in the extreme.",rotten,6,63
Strangeland,The kind of movie where you want to take a bath after watching.,rotten,6,63
Strangeland,Entry into the realm of disappointing horror videos.,rotten,6,63
Ravenous,Imagine a film that makes A Modest Proposal-style satire out of Dracula's gothic horror tropes in the spaghetti western milieu of The Great Silence. It's a pitch-black comedy about Manifest Destiny and cannibal frontiersmen.,fresh,45,78
Ravenous,... the definitive frontier cannibal movie. ... a gruesome survival thriller with a crimson-hued streak of black humor and an elemental hint of the supernatural.,fresh,45,78
Ravenous,It's a layered and very unique satire on America's consumption of the world...,fresh,45,78
Ravenous,"'He was licking me!' That plaintive, disgusted wail is pretty unforgettable once you've seen this one-of-a-kind tongue-in-cheek/blood-in-mouth historical horror movie that has garnered an appreciative cult audience...",fresh,45,78
Ravenous,"Ravenous is unlike anything else, and even if it's not to my own specific taste, I have great respect for its unrepentant weirdness.",rotten,45,78
Ravenous,"There's an awkwardness to Ravenous' more violent scenes, and while Carlyle and Jones give zesty performances, the rest of the supporting cast is quirky to a fault.",fresh,45,78
Ravenous,"""Ravenous"" could have turned out to be much more than what it ended up becoming, but thanks to an inability to take advantage of its creepy premise, all we get is a monotonous, forgettable, and worst of all, boring horror film.",rotten,45,78
Ravenous,"More than just a gory horror film in period dress, though it bears saying over and over again that even as a simple Western-horror hybrid, this is pretty great.",fresh,45,78
Ravenous,Director Antonia Bird and screenwriter Ted Griffin stir up an extremely unsavory concoction about cannibalism here.,rotten,45,78
Ravenous,"The plot begins brazenly, but the story becomes more conventional (though no less bloody) as it goes along.",rotten,45,78
Ravenous,A terrifically well-made gory horror movie with splashes of humor.,fresh,45,78
Ravenous,"...one of those rare, genuinely subversive (of Hollywood values) films, like Beyond the Valley of the Dolls or Eating Raoul",rotten,45,78
I Still Know What You Did Last Summer,"This followup to last year's successful teens-in-jeopardy opus piles on the chills, thrills and body count.",fresh,7,29
I Still Know What You Did Last Summer,"Our enjoyment is supposed to lie in making fun of the obvious red herrings, contrived opportunities to show cleavage, melodramatic dialogue, gullible characters, and inevitable to-be-continued ending.",rotten,7,29
I Still Know What You Did Last Summer,Irredeemably dire.,rotten,7,29
I Still Know What You Did Last Summer,"Neither Trey Callaway, who wrote the script, nor Danny Cannon, who directed the sequel, bring any new ideas to the genre. Cut 'em some slack: That surely was their marching orders.",rotten,7,29
I Still Know What You Did Last Summer,It's not a bad film for what it is.,fresh,7,29
I Still Know What You Did Last Summer,When Bad Things Happen to Stupid People might have been a better title.,rotten,7,29
I Still Know What You Did Last Summer,Completely wraps itself around the film's utter moronic plot elements and red herrings at every turn...,rotten,7,29
I Still Know What You Did Last Summer,We know what sequel shouldn't have been made.,rotten,7,29
I Still Know What You Did Last Summer,"Needless to say, logic takes a holiday, just not in the Bahamas. [Blu-ray]",rotten,7,29
I Still Know What You Did Last Summer,"I have seen many stupid movies in my life. But [this] would still count among the stupidest, had I seen twice a many movies in half again as many genres.",rotten,7,29
I Still Know What You Did Last Summer,"Like a rotten vaudeville act, this one deserves the hook.",rotten,7,29
I Still Know What You Did Last Summer,As mindlessly engaging as its predecessor...,rotten,7,29
The Faculty,"This smart, involving sci-fi picture, set in an Ohio high school, pays homage to several genre faves, notably Invasion of the Body Snatchers and The Thing.",fresh,53,55
The Faculty,"Since the codes of science fiction are different from horror's cant, the patented Williamson method doesn't make a perfect fit with the material; Faculty's fun, but less fun than it could be.",fresh,53,55
The Faculty,"Just whiskers away from being really snazzy, ""The Faculty"" still manages to make for a fun night out.",fresh,53,55
The Faculty,"Kitschy '90s sci-fi horror, lots of cursing, some gore.",rotten,53,55
The Faculty,"The Faculty succeeds as a youth-oriented shocker due to director, editor, and frequent camera-operator Robert Rodriguez's provocative eye and frantic pacing.",fresh,53,55
The Faculty,"Surely isn't perfect, but it's a solid genre offering from Robert Rodriguez.",fresh,53,55
The Faculty,"A zesty, charming sci-fi horror-thriller with better performances and far better production values than you'd expect.",fresh,53,55
The Faculty,"The Kevin Williamson formula (rewrite familiar horror scenarios and have the characters note the familiarity) has gotten to be a bore, and in this case it makes no sense.",rotten,53,55
The Faculty,"A crappy teen horror movie, but in director Robert Rodriguez's hands it's at least agreeably crappy.",fresh,53,55
The Faculty,A moviegoer looking for an empty-headed waste of time could do worse.,fresh,53,55
The Faculty,"The sci-fi/horror genre could take a lesson from ""The Faculty.""",fresh,53,55
